"Name","Sweep","Runtime","State","Created","best_eval_top1","unc-module","n_few_shot","dataset","loss","model","lr","num-heads","initial-checkpoint","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_auroc_correct_mixed","best_test_avg_downstream_auroc_ood","best_furthertest_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_furthertest_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_auroc_correct_mixed","best_eval_avg_downstream_auroc_ood","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_eval_auroc_correct","best_eval_r1","eval_time_per_sample"
"rural-sweep-1","c66fvd3o","1708","finished","2023-08-15T11:35:51.000Z","63.178","class-entropy","","torch/imagenet","cross-entropy","resnet50","0","10","./output/train/20230703-102657691930-resnet50-224/checkpoint-3.pth.tar","0.5075","0.6840548316637675","0.6448008020718893","","0.33370000000000005","","0.7457666666666666","","0.5495333333333333","0.6862435539563497","0.6283097664515177","0.7365333333333334","0.3594333333333333","0.5495333333333333","0.7365333333333334","0.3594333333333333","0.7778","0.5769","0.4788321439361573"
"fast-sweep-1","1ns09tlv","1831","finished","2023-08-15T11:30:46.000Z","57.752","pred-net","","torch/imagenet","riskpred","resnet50","0","","./output/train/20230518-182858114188-resnet50-224/checkpoint-2.pth.tar","0.5480999999999999","0.6557644208272299","0.530107115705808","","0.35836666666666667","","0.8771","","0.5736333333333333","0.673095166683197","0.5256859759489695","0.8797999999999999","0.3686","0.5736333333333333","0.8797999999999999","0.3686","0.7464","0.4588","0.4706763242340088"
"deft-sweep-3","zjatgkeu","1981","crashed","2023-08-14T22:14:23.000Z","","jsd","","torch/imagenet","cross-entropy","resnet50dropout","0","","./output/train/20230522-154620092043-resnet50dropout-224/checkpoint-0.pth.tar","","","","","","","","","","","","","","","","","","",""
"sunny-sweep-3","47iv75q9","1572","finished","2023-08-14T21:41:41.000Z","78.042","pred-net","","torch/imagenet","nivmf","resnet50","0","","./output/train/20230703-100732158854-resnet50-224/checkpoint-0.pth.tar","0.5646","0.5756741762161255","0.5481333633263906","","0.4305000000000001","","0.6982333333333334","","0.5451666666666667","0.5631928443908691","0.5216593742370605","0.7269333333333333","0.4419","0.5451666666666667","0.7269333333333333","0.4419","0.5628","0.7303","0.2442028241729736"
"glorious-sweep-3","apnmy54t","0","crashed","2023-08-14T21:37:18.000Z","","pred-net","","","hib","resnet50","","","./output/train/20230519-131620876875-resnet50-224/checkpoint-5.pth.tar","","","","","","","","","","","","","","","","","","",""
"woven-sweep-3","yeatdfjo","1559","finished","2023-08-14T21:35:48.000Z","71.782","class-entropy","","torch/imagenet","cross-entropy","resnet50","0","","./output/train/20230518-185156553486-resnet50-224/checkpoint-19.pth.tar","0.5052","0.649120052655538","0.718384842077891","","0.4111666666666667","","0.6444","","0.5256","0.6372674306233724","0.7027341524759928","0.66","0.42573333333333335","0.5256","0.66","0.42573333333333335","0.7614","0.6055","0.4758296880340576"
"firm-sweep-3","wkrzuhkg","1566","finished","2023-08-14T21:35:45.000Z","78.272","class-entropy","","torch/imagenet","cross-entropy","resnet50sngp","0","","./output/train/20230518-185615530374-resnet50sngp-224/checkpoint-14.pth.tar","0.5051","0.717600683371226","0.7262075146039327","","0.3054","","0.6759000000000001","","0.5435333333333333","0.7077504595120748","0.6984656651814779","0.6826666666666666","0.3284666666666667","0.5435333333333333","0.6826666666666666","0.3284666666666667","0.8056","0.7284","0.4741103016662598"
"apricot-sweep-2","zjatgkeu","2569","finished","2023-08-14T21:31:27.000Z","44.57","jsd","","torch/imagenet","cross-entropy","resnet50dropout","0","","./output/train/20230522-154619997253-resnet50dropout-224/checkpoint-0.pth.tar","0.4901","0.5970869461695353","0.5091065466403961","","0.2186","","0.29646666666666666","","0.5138333333333334","0.5896278222401937","0.49630741278330487","0.31083333333333335","0.23956666666666668","0.5138333333333334","0.31083333333333335","0.23956666666666668","0.6837","0.2776","1.6663498793029785"
"silvery-sweep-3","2jq3z5et","1653","finished","2023-08-14T21:31:17.000Z","48.594","pred-net","","torch/imagenet","elk","resnet50","0","","./output/train/20230505-185250304965-resnet50-224/checkpoint-3.pth.tar","0.5751","0.593812902768453","0.5344628940025965","","0.38643333333333335","","0.8563000000000001","","0.5755","0.6117260456085205","0.5369513680537542","0.8695666666666667","0.37799999999999995","0.5755","0.8695666666666667","0.37799999999999995","0.6254","0.38","0.47476764190673826"
"helpful-sweep-3","lk8ymntw","0","crashed","2023-08-14T21:31:17.000Z","","pred-net","","","mcinfonce","resnet50","","","./output/train/20230519-131650973012-resnet50-224/checkpoint-1.pth.tar","","","","","","","","","","","","","","","","","","",""
"devout-sweep-2","47iv75q9","1540","finished","2023-08-14T21:15:56.000Z","78.184","pred-net","","torch/imagenet","nivmf","resnet50","0","","./output/train/20230703-100728315414-resnet50-224/checkpoint-0.pth.tar","0.5733666666666667","0.5685789187749227","0.5443300505479177","","0.4341333333333333","","0.6765666666666666","","0.5393","0.5390330453713735","0.4979484776655833","0.7145333333333334","0.4436333333333333","0.5393","0.7145333333333334","0.4436333333333333","0.5481","0.731","0.24049140228271484"
