"Name","Sweep","best_eval_top1","Runtime","State","Created","unc-module","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_furthertest_avg_downstream_auroc_correct","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_r1","best_furthertest_avg_downstream_rcorr_entropy","furthertest_avg_downstream_auroc_correct","furthertest_avg_downstream_croppedHasBiggerUnc","furthertest_avg_downstream_r1","furthertest_avg_downstream_rcorr_entropy","best_eval_croppedHasBiggerUnc","best_eval_auroc_correct","model","lr","loss","num-heads","best_eval_r1"
"firm-sweep-1","sxehh9ad","56.332","55775","failed","2023-07-03T08:26:31.000Z","class-entropy","0.5288666666666667","0.3942666666666667","0.7743333333333334","0.5511","0.7714","0.4045666666666667","0.5409","0.7914333333333333","0.3904666666666667","0.52852","0.71106","0.6091599999999999","0.06618","","","","","0.7969","0.7837","resnet50","0.012461739075512","cross-entropy","10","0.4884"
"toasty-sweep-2","yih6uh5m","78.042","173741","finished","2023-07-03T08:07:01.000Z","pred-net","0.5645999999999999","0.4305000000000001","0.6969333333333334","0.5451999999999999","0.7253666666666666","0.4419","0.5","0.08889999999999999","0.2890333333333333","0.52042","0.7614","0.65144","0.01444","","","","","0.7612","0.5628","resnet50","0.00042264930264967137","nivmf","","0.7303"
"faithful-sweep-1","yih6uh5m","78.184","173526","finished","2023-07-03T08:06:58.000Z","pred-net","0.5733666666666667","0.4341333333333333","0.6802","0.5392666666666667","0.7150333333333333","0.4436333333333333","0.5","0.08850000000000001","0.29036666666666666","0.52478","0.7682400000000001","0.65758","0.029220000000000003","","","","","0.7553","0.5481","resnet50","0.00042264930264967137","nivmf","","0.731"
"restful-sweep-1","tiqb3956","77.108","177179","finished","2023-07-03T08:04:55.000Z","pred-net","0.5","0.46143333333333336","0.014133333333333333","0.5","0.0152","0.4628666666666667","0.5","0.13953333333333331","0.4974333333333334","0.5","0.11368","0.68174","0.01028","","","","","0.0174","0.5","resnet50","0.00726944246158707","nivmf","","0.7167"
"winter-sweep-2","tiqb3956","79.55","173722","finished","2023-07-03T08:04:55.000Z","pred-net","0.5403666666666666","0.4467666666666667","0.4952","0.5003333333333334","0.49499999999999994","0.44976666666666665","0.5","0.12496666666666668","0.49700000000000005","0.51714","0.73182","0.6714200000000001","0.02572","","","","","0.5133","0.3058","resnet50","0.00726944246158707","nivmf","","0.7432"
"zesty-sweep-2","1795gye0","82.548","104686","finished","2023-07-03T08:03:30.000Z","pred-net","0.5392666666666667","0.5715","0.7894333333333333","0.5197666666666666","0.7653333333333334","0.5406666666666667","0.5","0.005233333333333333","0.5289333333333333","0.50274","0.66492","0.7278399999999999","-0.003239999999999999","","","","","0.6611","0.3925","vit_medium_patch16_gap_256","0.0010539530340409357","nivmf","","0.7858"
"polished-sweep-1","1795gye0","82.698","116017","finished","2023-07-03T08:03:26.000Z","pred-net","0.5532333333333334","0.5685000000000001","0.6466666666666666","0.5225333333333334","0.6256333333333333","0.5397333333333334","0.5000333333333333","0.0025","0.5306666666666667","0.49266","0.49332","0.7277399999999999","-0.034719999999999994","","","","","0.4691","0.4572","vit_medium_patch16_gap_256","0.0010539530340409357","nivmf","","0.7841"
"solar-sweep-2","aq9tcoy4","63.802","63335","failed","2023-07-03T07:59:18.000Z","pred-net","0.5190333333333333","0.48396666666666666","0.6980666666666667","0.5337","0.6938666666666666","0.478","0.4964333333333333","0.25456666666666666","0.4894","0.54642","0.78296","0.68344","0.0538","","","","","0.7903","0.464","vit_medium_patch16_gap_256","0.007801785043803659","nivmf","","0.5527"
"autumn-sweep-1","aq9tcoy4","64.692","58741","failed","2023-07-03T07:59:16.000Z","pred-net","0.5320999999999999","0.481","0.767","0.5358333333333333","0.7600666666666666","0.47396666666666665","0.49123333333333336","0.6953333333333332","0.5029666666666667","0.5470400000000001","0.78156","0.6799600000000001","0.06686","","","","","0.8172","0.4502","vit_medium_patch16_gap_256","0.007801785043803659","nivmf","","0.5565"
"apricot-sweep-10","zydxq6e0","14.562","169984","finished","2023-06-30T12:46:56.000Z","class-entropy","0.5522999999999999","0.4078333333333333","0.8037333333333333","0.5376666666666666","0.8253","0.40963333333333335","0.5278333333333333","0.5939666666666666","0.3765333333333334","0.5689","0.73376","0.5803200000000001","0.0266","","","","","0.8142","0.4727","resnet50","0.0004786066047480345","cross-entropy","10","0.5211"
"good-sweep-10","ixqomx7b","78.02","177426","finished","2023-06-30T12:46:46.000Z","pred-net","0.5628000000000001","0.42589999999999995","0.7064666666666667","0.5369666666666667","0.7355999999999999","0.43566666666666665","0.5","0.04466666666666667","0.31883333333333336","0.5266","0.76298","0.65434","0.019339999999999996","","","","","0.7593","0.5599","resnet50","0.0009149259282459204","nivmf","","0.7293"
"misunderstood-sweep-9","zydxq6e0","49.742","40785","failed","2023-06-30T12:46:46.000Z","jsd","0.482","0.35286666666666666","0.45920000000000005","0.5236666666666666","0.4484","0.3759","0.5236666666666666","0.4484","0.3759","0.47548","0.24302","0.5985799999999999","-0.05798","","","","","0.4709","0.685","resnet50","0.01993891871251335","cross-entropy","10","0.4151"
"wobbly-sweep-10","6fado2xq","73.91","190730","finished","2023-06-30T12:46:46.000Z","jsd","0.5278666666666667","0.30183333333333334","0.5278666666666666","0.5524666666666667","0.5510333333333333","0.3189","0.5319333333333334","0.5715","0.3884","0.5096","0.17802","0.57164","-0.012979999999999997","","","","","0.6288","0.8154","resnet50dropout","0.00028616544750883853","cross-entropy","","0.4884"
"vocal-sweep-9","ixqomx7b","77.878","179447","finished","2023-06-30T12:46:45.000Z","pred-net","0.5652","0.4262333333333333","0.7081333333333334","0.5379333333333333","0.7364","0.4373333333333333","0.5","0.10246666666666666","0.2209","0.528","0.76114","0.6495599999999999","0.0186","","","","","0.7585","0.5665","resnet50","0.002718691035476152","nivmf","","0.7287"
"glorious-sweep-9","6fado2xq","77.63","196582","finished","2023-06-30T12:46:45.000Z","jsd","0.5195666666666666","0.3687","0.521","0.5537666666666666","0.5584000000000001","0.3819999999999999","0.5320333333333334","0.5634666666666667","0.3847666666666667","0.5167999999999999","0.25314000000000003","0.64316","0.02832","","","","","0.6628","0.8119","resnet50dropout","0.0004581920565518178","cross-entropy","","0.5909"
