"Name","Sweep","Runtime","State","Created","best_eval_top1","unc-module","n_few_shot","dataset","loss","model","lr","num-heads","initial-checkpoint","best_test_avg_downstream_auroc_correct","best_test_avg_downstream_auroc_correct_mixed","best_test_avg_downstream_auroc_ood","best_furthertest_avg_downstream_auroc_correct","best_test_avg_downstream_r1","best_furthertest_avg_downstream_r1","best_test_avg_downstream_croppedHasBiggerUnc","best_furthertest_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_auroc_correct","best_eval_avg_downstream_auroc_correct_mixed","best_eval_avg_downstream_auroc_ood","best_eval_avg_downstream_croppedHasBiggerUnc","best_eval_avg_downstream_r1","eval_avg_downstream_auroc_correct","eval_avg_downstream_croppedHasBiggerUnc","eval_avg_downstream_r1","best_eval_auroc_correct","best_eval_r1","eval_time_per_sample"
"icy-sweep-18","xj7hbxe7","15263","finished","2023-08-16T04:04:20.000Z","1.1884","pred-net","2","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.5938","0.4997795820236206","0.5","","0.334","","0.7113","","","","","","","","","","0.5938","0.334","1.0582034581957196"
"ethereal-sweep-17","xj7hbxe7","15319","finished","2023-08-16T04:02:02.000Z","0.8913","pred-net","1","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102915224259-resnet50-224/checkpoint-1.pth.tar","0.5893","0.49964576959609985","0.5","","0.2897","","0.5635","","","","","","","","","","0.5893","0.2897","1.0469990960145004"
"fallen-sweep-16","xj7hbxe7","19202","finished","2023-08-16T04:01:20.000Z","0.9408","pred-net","10","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6133","0.4999345541000366","0.5","","0.3149","","0.6935","","","","","","","","","","0.6133","0.3149","1.0326916151455234"
"chocolate-sweep-15","xj7hbxe7","16449","finished","2023-08-16T03:58:28.000Z","1.0646","pred-net","5","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6074","0.4999836087226868","0.5","","0.3181","","0.7182","","","","","","","","","","0.6074","0.3181","0.977988233894486"
"honest-sweep-14","xj7hbxe7","15269","finished","2023-08-16T03:55:48.000Z","1.0151","pred-net","2","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6122","0.49996429681777954","0.5","","0.3137","","0.7163","","","","","","","","","","0.6122","0.3137","1.0083107336761634"
"misty-sweep-13","xj7hbxe7","15074","finished","2023-08-16T03:55:35.000Z","0.9903","pred-net","1","repr/cars","mcinfonce","resnet50","0.000011921026128622955","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230522-102914532252-resnet50-224/checkpoint-1.pth.tar","0.6086","0.49996137619018555","0.5000000596046448","","0.3154","","0.716","","","","","","","","","","0.6086","0.3154","0.9861604151497916"
"driven-sweep-12","xj7hbxe7","0","crashed","2023-08-16T03:55:14.000Z","","pred-net","10","repr/cub","mcinfonce","resnet50","","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230519-131650973012-resnet50-224/checkpoint-1.pth.tar","","","","","","","","","","","","","","","","","","",""
"quiet-sweep-11","xj7hbxe7","0","crashed","2023-08-16T03:55:07.000Z","","pred-net","5","repr/cub","mcinfonce","resnet50","","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230519-131650973012-resnet50-224/checkpoint-1.pth.tar","","","","","","","","","","","","","","","","","","",""
"rose-sweep-10","xj7hbxe7","0","crashed","2023-08-16T03:54:53.000Z","","pred-net","2","repr/cub","mcinfonce","resnet50","","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230519-131650973012-resnet50-224/checkpoint-1.pth.tar","","","","","","","","","","","","","","","","","","",""
"zesty-sweep-9","xj7hbxe7","0","crashed","2023-08-16T03:54:33.000Z","","pred-net","1","repr/cub","mcinfonce","resnet50","","","/host/mnt/qb/work/kasneci/mkirchhof44/projects/large/output/train/20230519-131650973012-resnet50-224/checkpoint-1.pth.tar","","","","","","","","","","","","","","","","","","",""
"comic-sweep-28","godeg2dk","66243","finished","2023-08-16T03:29:53.000Z","0.0179","class-entropy","10","repr/sop","cross-entropy","vit_medium_patch16_gap_256sngp","0.0001486933067804136","","/host/mnt/lustre/kasneci/mkirchhof44/projects/large/output/train/20230522-111926269503-vit_medium_patch16_gap_256sngp-256/checkpoint-2.pth.tar","0.6129","0.6932209730148315","0.4999999701976776","","0.0818","","0.6707","","","","","","","","","","0.6129","0.0818","0.3264619700602891"
